imageID, Answer.Q_ABILITY, Answer.Q_COMPLEX, Answer.Q_DIFFICULT, Answer.Q_Intresting, Answer.Q_OverallEffort, Answer.Q_TAKE
3D7N1211O74L32LV8ZFDVQWGH61MAZ,0,20,20,8,149,0
3D7N1211O74L32LV8ZFDVQWGH61MAZ,0,15,16,4,101,0
3D7N1211O74L32LV8ZFDVQWGH61MAZ,0,20,20,0,150,0
3PBTVBPQ9UHWF8TU0BNM18QB456LGV,1,7,2,10,39,12
3PBTVBPQ9UHWF8TU0BNM18QB456LGV,1,12,12,4,45,10
3PBTVBPQ9UHWF8TU0BNM18QB456LGV,1,1,0,6,29,15
3PBTVBPQ9UHWF8TU0BNM18QB456LGV,1,9,8,11,62,6
3PBTVBPQ9UHWF8TU0BNM18QB456LGV,1,1,1,1,17,1
3PBTVBPQ9UHWF8TU0BNM18QB456LGV,1,14,11,3,90,12
3PBTVBPQ9UHWF8TU0BNM18QB456LGV,1,9,8,4,39,1
3PBTVBPQ9UHWF8TU0BNM18QB456LGV,1,13,11,10,74,7
3PBTVBPQ9UHWF8TU0BNM18QB456LGV,1,8,5,16,60,16
3PBTVBPQ9UHWF8TU0BNM18QB456LGV,1,15,8,13,48,10
3JCELWMC4PY7J05E7LXQXNDWO6Y3V4,1,10,10,9,52,4
3JCELWMC4PY7J05E7LXQXNDWO6Y3V4,1,2,15,4,59,4
3JCELWMC4PY7J05E7LXQXNDWO6Y3V4,1,8,6,8,47,9
3JCELWMC4PY7J05E7LXQXNDWO6Y3V4,1,14,16,6,102,2
3JCELWMC4PY7J05E7LXQXNDWO6Y3V4,1,2,2,2,-1,0
3JCELWMC4PY7J05E7LXQXNDWO6Y3V4,1,16,16,1,99,0
3JCELWMC4PY7J05E7LXQXNDWO6Y3V4,1,15,15,5,114,4
3JCELWMC4PY7J05E7LXQXNDWO6Y3V4,1,19,11,6,90,5
3JCELWMC4PY7J05E7LXQXNDWO6Y3V4,1,2,0,14,40,19
3JCELWMC4PY7J05E7LXQXNDWO6Y3V4,1,0,0,20,4,20
3H41Q6XMRNUCK2PCFPR6Y35LJFT2GW,1,3,2,10,19,10
3H41Q6XMRNUCK2PCFPR6Y35LJFT2GW,1,1,2,10,25,10
3H41Q6XMRNUCK2PCFPR6Y35LJFT2GW,1,1,9,8,6,6
3H41Q6XMRNUCK2PCFPR6Y35LJFT2GW,1,0,0,2,14,4
3H41Q6XMRNUCK2PCFPR6Y35LJFT2GW,1,2,1,19,16,18
3H41Q6XMRNUCK2PCFPR6Y35LJFT2GW,1,3,5,9,22,6
3H41Q6XMRNUCK2PCFPR6Y35LJFT2GW,1,2,0,2,26,1
3H41Q6XMRNUCK2PCFPR6Y35LJFT2GW,1,0,0,20,38,20
3H41Q6XMRNUCK2PCFPR6Y35LJFT2GW,1,10,4,12,15,11
3H41Q6XMRNUCK2PCFPR6Y35LJFT2GW,1,3,2,18,14,15
3P15LLOAR9NU663LLUNNP8EDOYG9ZV,1,7,2,6,28,2
3P15LLOAR9NU663LLUNNP8EDOYG9ZV,1,2,4,14,21,16
3P15LLOAR9NU663LLUNNP8EDOYG9ZV,1,4,5,11,47,10
3P15LLOAR9NU663LLUNNP8EDOYG9ZV,1,0,0,10,30,10
3P15LLOAR9NU663LLUNNP8EDOYG9ZV,1,4,5,16,15,13
3P15LLOAR9NU663LLUNNP8EDOYG9ZV,1,7,3,8,51,14
3P15LLOAR9NU663LLUNNP8EDOYG9ZV,1,5,3,4,27,17
3P15LLOAR9NU663LLUNNP8EDOYG9ZV,1,13,12,10,37,11
3P15LLOAR9NU663LLUNNP8EDOYG9ZV,1,4,4,6,27,11
3P15LLOAR9NU663LLUNNP8EDOYG9ZV,1,10,10,10,38,14
3T6HLR4BXW65EY3SGXC7I8ILF1889L,1,0,0,20,18,19
3T6HLR4BXW65EY3SGXC7I8ILF1889L,1,10,7,10,49,11
3T6HLR4BXW65EY3SGXC7I8ILF1889L,1,0,0,10,0,0
3T6HLR4BXW65EY3SGXC7I8ILF1889L,1,12,18,0,61,0
3T6HLR4BXW65EY3SGXC7I8ILF1889L,1,4,16,0,72,1
3T6HLR4BXW65EY3SGXC7I8ILF1889L,1,1,5,1,26,0
3T6HLR4BXW65EY3SGXC7I8ILF1889L,1,0,0,10,22,20
3T6HLR4BXW65EY3SGXC7I8ILF1889L,1,7,6,13,38,14
3T6HLR4BXW65EY3SGXC7I8ILF1889L,1,12,7,6,60,9
3T6HLR4BXW65EY3SGXC7I8ILF1889L,1,14,13,1,55,1
3GBCJUK5C2NMDEDWS686X6QI2G8KP3,1,1,1,6,26,18
3GBCJUK5C2NMDEDWS686X6QI2G8KP3,1,2,2,12,17,0
3GBCJUK5C2NMDEDWS686X6QI2G8KP3,1,6,8,16,72,12
3GBCJUK5C2NMDEDWS686X6QI2G8KP3,1,10,6,12,43,10
3GBCJUK5C2NMDEDWS686X6QI2G8KP3,1,0,0,18,16,20
3GBCJUK5C2NMDEDWS686X6QI2G8KP3,1,3,11,12,25,10
3GBCJUK5C2NMDEDWS686X6QI2G8KP3,1,10,8,12,45,13
3GBCJUK5C2NMDEDWS686X6QI2G8KP3,1,14,14,3,86,2
3GBCJUK5C2NMDEDWS686X6QI2G8KP3,1,14,10,8,37,10
3GBCJUK5C2NMDEDWS686X6QI2G8KP3,1,17,13,2,100,7
390EOHYPK4Q05K2TRHZ1W9N0LW8X3W,1,1,1,1,7,0
390EOHYPK4Q05K2TRHZ1W9N0LW8X3W,1,4,4,10,37,20
390EOHYPK4Q05K2TRHZ1W9N0LW8X3W,1,8,6,4,30,2
390EOHYPK4Q05K2TRHZ1W9N0LW8X3W,1,19,19,5,101,6
390EOHYPK4Q05K2TRHZ1W9N0LW8X3W,1,4,4,12,38,16
390EOHYPK4Q05K2TRHZ1W9N0LW8X3W,1,6,6,9,42,13
390EOHYPK4Q05K2TRHZ1W9N0LW8X3W,1,6,8,8,38,11
390EOHYPK4Q05K2TRHZ1W9N0LW8X3W,1,16,13,1,110,3
390EOHYPK4Q05K2TRHZ1W9N0LW8X3W,1,1,2,5,33,4
390EOHYPK4Q05K2TRHZ1W9N0LW8X3W,1,18,14,0,86,0
3S1POB7GU8DKAHGA5W96UXZRMJ8QU4,1,6,7,10,24,12
3S1POB7GU8DKAHGA5W96UXZRMJ8QU4,1,4,3,17,23,15
3S1POB7GU8DKAHGA5W96UXZRMJ8QU4,1,6,4,12,51,10
3S1POB7GU8DKAHGA5W96UXZRMJ8QU4,1,18,18,1,86,0
3S1POB7GU8DKAHGA5W96UXZRMJ8QU4,1,15,12,6,38,9
3S1POB7GU8DKAHGA5W96UXZRMJ8QU4,1,2,0,16,113,18
3S1POB7GU8DKAHGA5W96UXZRMJ8QU4,1,10,5,8,54,3
3S1POB7GU8DKAHGA5W96UXZRMJ8QU4,1,2,2,14,27,16
3S1POB7GU8DKAHGA5W96UXZRMJ8QU4,1,8,10,11,38,12
3S1POB7GU8DKAHGA5W96UXZRMJ8QU4,1,1,4,17,58,15
3R8NDUBSE5CIIDI6K37BBGYS2U64KU,1,0,0,20,37,20
3R8NDUBSE5CIIDI6K37BBGYS2U64KU,1,4,0,14,39,20
3R8NDUBSE5CIIDI6K37BBGYS2U64KU,1,3,3,2,22,0
3R8NDUBSE5CIIDI6K37BBGYS2U64KU,1,0,0,16,15,20
3R8NDUBSE5CIIDI6K37BBGYS2U64KU,1,0,0,6,26,16
3R8NDUBSE5CIIDI6K37BBGYS2U64KU,1,1,0,0,38,0
3R8NDUBSE5CIIDI6K37BBGYS2U64KU,0,14,16,4,57,2
3R8NDUBSE5CIIDI6K37BBGYS2U64KU,1,0,0,14,16,10
3R8NDUBSE5CIIDI6K37BBGYS2U64KU,1,1,2,6,24,15
3R8NDUBSE5CIIDI6K37BBGYS2U64KU,1,1,1,14,37,19
3NE6EBGK47BU93BYGGU8IB2LO7NE35,1,10,4,2,63,4
3NE6EBGK47BU93BYGGU8IB2LO7NE35,1,14,10,20,37,10
3NE6EBGK47BU93BYGGU8IB2LO7NE35,1,11,6,18,98,16
3NE6EBGK47BU93BYGGU8IB2LO7NE35,1,3,12,8,43,2
3NE6EBGK47BU93BYGGU8IB2LO7NE35,1,14,14,14,76,0
3NE6EBGK47BU93BYGGU8IB2LO7NE35,1,6,6,15,66,13
3NE6EBGK47BU93BYGGU8IB2LO7NE35,1,2,1,20,30,20
3NE6EBGK47BU93BYGGU8IB2LO7NE35,1,8,7,18,83,20
3NE6EBGK47BU93BYGGU8IB2LO7NE35,1,10,10,15,70,18
3NE6EBGK47BU93BYGGU8IB2LO7NE35,1,-1,-1,-1,-1,-1
3LV0310AAZ7UO39UCWLZNYY1B3BDKS,1,2,0,10,26,19
3LV0310AAZ7UO39UCWLZNYY1B3BDKS,1,2,2,20,3,20
3LV0310AAZ7UO39UCWLZNYY1B3BDKS,1,6,6,9,38,3
3LV0310AAZ7UO39UCWLZNYY1B3BDKS,1,2,0,20,87,20
3LV0310AAZ7UO39UCWLZNYY1B3BDKS,1,-1,-1,-1,-1,-1
3LV0310AAZ7UO39UCWLZNYY1B3BDKS,1,0,0,10,17,14
3LV0310AAZ7UO39UCWLZNYY1B3BDKS,1,1,0,14,31,19
3LV0310AAZ7UO39UCWLZNYY1B3BDKS,1,0,0,18,10,20
3LV0310AAZ7UO39UCWLZNYY1B3BDKS,1,0,0,10,14,20
3LV0310AAZ7UO39UCWLZNYY1B3BDKS,1,0,0,10,9,15
3K0G5SYN9K0M6D335K10A1FE8RM8MU,1,12,8,4,90,2
3K0G5SYN9K0M6D335K10A1FE8RM8MU,1,12,8,12,38,16
3K0G5SYN9K0M6D335K10A1FE8RM8MU,1,13,13,14,40,19
3K0G5SYN9K0M6D335K10A1FE8RM8MU,1,6,8,7,28,13
3K0G5SYN9K0M6D335K10A1FE8RM8MU,1,20,18,1,103,2
3K0G5SYN9K0M6D335K10A1FE8RM8MU,1,10,10,18,98,18
3K0G5SYN9K0M6D335K10A1FE8RM8MU,1,17,7,6,57,1
3K0G5SYN9K0M6D335K10A1FE8RM8MU,0,7,9,3,71,1
3K0G5SYN9K0M6D335K10A1FE8RM8MU,1,0,0,10,38,4
3K0G5SYN9K0M6D335K10A1FE8RM8MU,1,13,16,12,62,3
3MGKBFT74NRL5KAEINTLHYIV1ONSJ5,1,4,4,14,20,13
3MGKBFT74NRL5KAEINTLHYIV1ONSJ5,1,4,6,14,37,17
3MGKBFT74NRL5KAEINTLHYIV1ONSJ5,1,8,2,1,50,1
3MGKBFT74NRL5KAEINTLHYIV1ONSJ5,1,1,2,17,51,20
3MGKBFT74NRL5KAEINTLHYIV1ONSJ5,1,0,0,0,16,10
3MGKBFT74NRL5KAEINTLHYIV1ONSJ5,1,12,14,14,26,12
3MGKBFT74NRL5KAEINTLHYIV1ONSJ5,1,4,4,10,39,10
3MGKBFT74NRL5KAEINTLHYIV1ONSJ5,1,3,3,10,39,10
3MGKBFT74NRL5KAEINTLHYIV1ONSJ5,1,2,2,10,36,16
3MGKBFT74NRL5KAEINTLHYIV1ONSJ5,1,0,0,13,10,13
3TJJ8HSJWJ7V3WKXYD3KKOVHU4N28W,1,9,8,11,53,16
3TJJ8HSJWJ7V3WKXYD3KKOVHU4N28W,1,1,1,10,36,14
3TJJ8HSJWJ7V3WKXYD3KKOVHU4N28W,1,4,4,18,38,20
3TJJ8HSJWJ7V3WKXYD3KKOVHU4N28W,1,7,5,14,46,16
3TJJ8HSJWJ7V3WKXYD3KKOVHU4N28W,1,6,4,14,30,12
3TJJ8HSJWJ7V3WKXYD3KKOVHU4N28W,1,7,2,3,44,2
3TJJ8HSJWJ7V3WKXYD3KKOVHU4N28W,1,10,6,16,29,16
3TJJ8HSJWJ7V3WKXYD3KKOVHU4N28W,1,8,8,20,52,20
3TJJ8HSJWJ7V3WKXYD3KKOVHU4N28W,1,1,1,14,37,14
3TJJ8HSJWJ7V3WKXYD3KKOVHU4N28W,1,0,0,10,38,8
3Q9ARQ9ZAP4L7I0LVYTFN28MIJR3MM,1,10,6,2,38,2
3Q9ARQ9ZAP4L7I0LVYTFN28MIJR3MM,1,10,10,1,39,1
3Q9ARQ9ZAP4L7I0LVYTFN28MIJR3MM,1,4,4,10,46,10
3Q9ARQ9ZAP4L7I0LVYTFN28MIJR3MM,1,6,10,8,49,10
3Q9ARQ9ZAP4L7I0LVYTFN28MIJR3MM,1,6,3,1,46,1
3Q9ARQ9ZAP4L7I0LVYTFN28MIJR3MM,1,0,0,18,14,20
3Q9ARQ9ZAP4L7I0LVYTFN28MIJR3MM,1,16,18,14,56,9
3Q9ARQ9ZAP4L7I0LVYTFN28MIJR3MM,1,7,6,12,72,10
3Q9ARQ9ZAP4L7I0LVYTFN28MIJR3MM,1,18,12,0,70,0
3Q9ARQ9ZAP4L7I0LVYTFN28MIJR3MM,0,14,15,4,72,7
3Y6OYEUGD7DBA3Z0UX7LVDP3LCIS5W,1,5,2,15,26,18
3Y6OYEUGD7DBA3Z0UX7LVDP3LCIS5W,1,1,0,17,9,18
3Y6OYEUGD7DBA3Z0UX7LVDP3LCIS5W,1,6,2,15,34,18
3Y6OYEUGD7DBA3Z0UX7LVDP3LCIS5W,1,0,10,10,27,0
3Y6OYEUGD7DBA3Z0UX7LVDP3LCIS5W,1,2,2,2,18,16
3Y6OYEUGD7DBA3Z0UX7LVDP3LCIS5W,1,0,0,10,13,19
3Y6OYEUGD7DBA3Z0UX7LVDP3LCIS5W,1,0,0,17,45,17
3Y6OYEUGD7DBA3Z0UX7LVDP3LCIS5W,1,0,0,20,113,20
3Y6OYEUGD7DBA3Z0UX7LVDP3LCIS5W,1,0,1,16,7,20
3Y6OYEUGD7DBA3Z0UX7LVDP3LCIS5W,1,0,0,15,13,20
38NH2CI7SPCMWUJ4T62C2GD654VVUY,1,2,2,8,25,16
38NH2CI7SPCMWUJ4T62C2GD654VVUY,1,2,6,11,38,4
38NH2CI7SPCMWUJ4T62C2GD654VVUY,1,6,3,12,40,16
38NH2CI7SPCMWUJ4T62C2GD654VVUY,1,4,-1,14,25,14
38NH2CI7SPCMWUJ4T62C2GD654VVUY,1,0,0,10,39,12
38NH2CI7SPCMWUJ4T62C2GD654VVUY,1,0,0,14,13,18
38NH2CI7SPCMWUJ4T62C2GD654VVUY,1,1,0,20,16,20
38NH2CI7SPCMWUJ4T62C2GD654VVUY,1,2,2,10,37,16
38NH2CI7SPCMWUJ4T62C2GD654VVUY,1,9,3,3,60,4
38NH2CI7SPCMWUJ4T62C2GD654VVUY,1,10,2,9,42,14
3IR329NZ7YGB0BGT612CO4BTUIW2K0,1,2,2,10,38,6
3IR329NZ7YGB0BGT612CO4BTUIW2K0,1,-1,-1,-1,-1,-1
3IR329NZ7YGB0BGT612CO4BTUIW2K0,1,12,8,19,41,19
3IR329NZ7YGB0BGT612CO4BTUIW2K0,1,15,6,6,73,3
3IR329NZ7YGB0BGT612CO4BTUIW2K0,1,4,9,12,72,8
3IR329NZ7YGB0BGT612CO4BTUIW2K0,1,11,6,18,75,20
3IR329NZ7YGB0BGT612CO4BTUIW2K0,1,0,0,12,26,10
3IR329NZ7YGB0BGT612CO4BTUIW2K0,1,10,10,12,38,7
3IR329NZ7YGB0BGT612CO4BTUIW2K0,1,1,4,18,78,19
3IR329NZ7YGB0BGT612CO4BTUIW2K0,1,4,4,14,40,17
3NAD71TD8V1W7T0ET8V40F6WWDIL2U,1,2,1,0,41,0
3NAD71TD8V1W7T0ET8V40F6WWDIL2U,1,16,16,12,73,6
3NAD71TD8V1W7T0ET8V40F6WWDIL2U,1,12,12,12,63,10
3NAD71TD8V1W7T0ET8V40F6WWDIL2U,1,12,9,1,45,0
3NAD71TD8V1W7T0ET8V40F6WWDIL2U,1,16,13,2,54,1
3NAD71TD8V1W7T0ET8V40F6WWDIL2U,1,6,10,1,57,2
3NAD71TD8V1W7T0ET8V40F6WWDIL2U,1,9,9,12,39,5
3NAD71TD8V1W7T0ET8V40F6WWDIL2U,1,-1,-1,-1,-1,-1
3NAD71TD8V1W7T0ET8V40F6WWDIL2U,1,10,0,20,3,0
3NAD71TD8V1W7T0ET8V40F6WWDIL2U,1,4,2,10,38,10
30E2X49V611K26Z0IIHLB47CQY53NF,1,4,2,10,27,19
30E2X49V611K26Z0IIHLB47CQY53NF,1,1,1,1,7,2
30E2X49V611K26Z0IIHLB47CQY53NF,1,2,2,5,26,10
30E2X49V611K26Z0IIHLB47CQY53NF,1,2,3,5,41,1
30E2X49V611K26Z0IIHLB47CQY53NF,1,12,12,18,38,15
30E2X49V611K26Z0IIHLB47CQY53NF,1,4,1,15,22,18
30E2X49V611K26Z0IIHLB47CQY53NF,1,5,4,5,26,4
30E2X49V611K26Z0IIHLB47CQY53NF,1,15,14,0,113,1
30E2X49V611K26Z0IIHLB47CQY53NF,1,1,1,18,122,17
30E2X49V611K26Z0IIHLB47CQY53NF,1,12,8,4,46,2
3U47UEJKWC6S8AEVXI8SUW72VHPLB6,0,20,20,0,113,0
3U47UEJKWC6S8AEVXI8SUW72VHPLB6,1,14,15,2,72,4
3U47UEJKWC6S8AEVXI8SUW72VHPLB6,1,12,12,2,114,0
3U47UEJKWC6S8AEVXI8SUW72VHPLB6,1,16,16,10,85,12
3U47UEJKWC6S8AEVXI8SUW72VHPLB6,1,18,18,14,101,1
3U47UEJKWC6S8AEVXI8SUW72VHPLB6,0,6,6,1,131,4
3U47UEJKWC6S8AEVXI8SUW72VHPLB6,1,16,12,12,102,10
3U47UEJKWC6S8AEVXI8SUW72VHPLB6,1,15,16,2,92,3
3U47UEJKWC6S8AEVXI8SUW72VHPLB6,0,4,12,6,53,2
3U47UEJKWC6S8AEVXI8SUW72VHPLB6,0,20,20,1,110,0
3HYDIS22DXJRRCQBI3AE9ELUHK15NC,1,2,0,15,27,19
3HYDIS22DXJRRCQBI3AE9ELUHK15NC,1,1,1,4,46,6
3HYDIS22DXJRRCQBI3AE9ELUHK15NC,1,3,2,17,40,18
3HYDIS22DXJRRCQBI3AE9ELUHK15NC,1,6,6,14,26,16
3HYDIS22DXJRRCQBI3AE9ELUHK15NC,1,0,0,10,15,13
3HYDIS22DXJRRCQBI3AE9ELUHK15NC,1,7,3,19,31,18
3HYDIS22DXJRRCQBI3AE9ELUHK15NC,1,2,2,15,27,20
3HYDIS22DXJRRCQBI3AE9ELUHK15NC,1,6,6,10,39,6
3HYDIS22DXJRRCQBI3AE9ELUHK15NC,1,0,0,10,2,12
3HYDIS22DXJRRCQBI3AE9ELUHK15NC,1,5,0,12,38,14
3YNFDCZ5R4IX1UZP9S56QRIUL8YNRO,1,15,15,16,41,1
3YNFDCZ5R4IX1UZP9S56QRIUL8YNRO,0,20,20,0,100,0
3YNFDCZ5R4IX1UZP9S56QRIUL8YNRO,0,15,18,1,102,0
3YNFDCZ5R4IX1UZP9S56QRIUL8YNRO,0,18,12,0,113,0
3YNFDCZ5R4IX1UZP9S56QRIUL8YNRO,1,16,16,2,105,10
3YNFDCZ5R4IX1UZP9S56QRIUL8YNRO,0,19,19,1,114,1
3YNFDCZ5R4IX1UZP9S56QRIUL8YNRO,0,20,20,2,143,0
3YNFDCZ5R4IX1UZP9S56QRIUL8YNRO,1,2,2,10,58,1
3YNFDCZ5R4IX1UZP9S56QRIUL8YNRO,1,6,10,6,72,8
3YNFDCZ5R4IX1UZP9S56QRIUL8YNRO,0,-1,-1,-1,-1,-1
3NVVDJT9G6OIY2RUWWJCMM9P5JCPXO,1,0,0,6,13,20
3NVVDJT9G6OIY2RUWWJCMM9P5JCPXO,1,0,0,15,112,20
3NVVDJT9G6OIY2RUWWJCMM9P5JCPXO,1,1,0,10,15,18
3NVVDJT9G6OIY2RUWWJCMM9P5JCPXO,1,0,0,14,39,20
3NVVDJT9G6OIY2RUWWJCMM9P5JCPXO,1,2,2,16,25,2
3NVVDJT9G6OIY2RUWWJCMM9P5JCPXO,1,0,0,0,71,0
3NVVDJT9G6OIY2RUWWJCMM9P5JCPXO,1,0,0,20,4,20
3NVVDJT9G6OIY2RUWWJCMM9P5JCPXO,1,0,0,0,2,20
3NVVDJT9G6OIY2RUWWJCMM9P5JCPXO,1,0,0,0,1,0
3NVVDJT9G6OIY2RUWWJCMM9P5JCPXO,1,0,0,2,13,0
3AMAQJSW8I20H10ADEKNBNOAVRROI5,1,6,4,12,60,13
3AMAQJSW8I20H10ADEKNBNOAVRROI5,1,4,6,2,56,1
3AMAQJSW8I20H10ADEKNBNOAVRROI5,1,6,14,1,74,2
3AMAQJSW8I20H10ADEKNBNOAVRROI5,1,15,17,2,40,2
3AMAQJSW8I20H10ADEKNBNOAVRROI5,1,14,8,0,62,0
3AMAQJSW8I20H10ADEKNBNOAVRROI5,1,11,8,3,80,5
3AMAQJSW8I20H10ADEKNBNOAVRROI5,1,5,6,0,103,1
3AMAQJSW8I20H10ADEKNBNOAVRROI5,1,4,10,3,89,2
3AMAQJSW8I20H10ADEKNBNOAVRROI5,1,10,10,0,114,0
3AMAQJSW8I20H10ADEKNBNOAVRROI5,1,1,1,12,36,19
3AA189Q6C6N6C9XRHK508ZBLMH8WM3,0,2,2,20,15,20
3AA189Q6C6N6C9XRHK508ZBLMH8WM3,1,2,1,15,58,8
3AA189Q6C6N6C9XRHK508ZBLMH8WM3,1,13,13,0,40,1
3AA189Q6C6N6C9XRHK508ZBLMH8WM3,1,10,10,4,39,4
3AA189Q6C6N6C9XRHK508ZBLMH8WM3,1,0,0,10,8,16
3AA189Q6C6N6C9XRHK508ZBLMH8WM3,1,6,3,17,29,10
3AA189Q6C6N6C9XRHK508ZBLMH8WM3,1,0,0,17,3,20
3AA189Q6C6N6C9XRHK508ZBLMH8WM3,1,3,0,18,37,16
3AA189Q6C6N6C9XRHK508ZBLMH8WM3,1,-1,1,10,26,10
3AA189Q6C6N6C9XRHK508ZBLMH8WM3,1,0,0,20,27,20
3R39EOJX7BI6S1MO8YC8O4DE709FF7,1,4,2,7,37,8
3R39EOJX7BI6S1MO8YC8O4DE709FF7,1,2,2,10,17,19
3R39EOJX7BI6S1MO8YC8O4DE709FF7,1,7,5,12,37,19
3R39EOJX7BI6S1MO8YC8O4DE709FF7,1,1,1,16,14,16
3R39EOJX7BI6S1MO8YC8O4DE709FF7,1,0,3,20,10,19
3R39EOJX7BI6S1MO8YC8O4DE709FF7,1,-1,-1,-1,-1,-1
3R39EOJX7BI6S1MO8YC8O4DE709FF7,1,0,0,8,39,19
3R39EOJX7BI6S1MO8YC8O4DE709FF7,1,2,3,16,39,18
3R39EOJX7BI6S1MO8YC8O4DE709FF7,1,3,2,19,28,18
3R39EOJX7BI6S1MO8YC8O4DE709FF7,1,4,2,6,14,17
3MK14RC5NS9WDGLCZVLGWCZQJ24T6G,1,4,6,2,50,1
3MK14RC5NS9WDGLCZVLGWCZQJ24T6G,1,-1,-1,-1,-1,-1
3MK14RC5NS9WDGLCZVLGWCZQJ24T6G,1,1,2,1,20,6
3MK14RC5NS9WDGLCZVLGWCZQJ24T6G,1,0,0,2,27,12
3MK14RC5NS9WDGLCZVLGWCZQJ24T6G,1,1,1,1,38,7
3MK14RC5NS9WDGLCZVLGWCZQJ24T6G,1,7,8,4,38,7
3MK14RC5NS9WDGLCZVLGWCZQJ24T6G,1,0,0,15,15,20
3MK14RC5NS9WDGLCZVLGWCZQJ24T6G,1,0,0,6,26,20
3MK14RC5NS9WDGLCZVLGWCZQJ24T6G,1,0,0,20,8,20
3MK14RC5NS9WDGLCZVLGWCZQJ24T6G,1,3,1,19,17,20
3X3BKUX7FNI4TQBH6Z6BCBN743AUUW,1,2,20,20,86,20
3X3BKUX7FNI4TQBH6Z6BCBN743AUUW,1,1,6,8,16,16
3X3BKUX7FNI4TQBH6Z6BCBN743AUUW,1,1,1,14,14,20
3X3BKUX7FNI4TQBH6Z6BCBN743AUUW,1,-1,-1,-1,-1,-1
3X3BKUX7FNI4TQBH6Z6BCBN743AUUW,1,-1,-1,-1,-1,-1
3X3BKUX7FNI4TQBH6Z6BCBN743AUUW,1,0,0,14,2,20
3X3BKUX7FNI4TQBH6Z6BCBN743AUUW,1,0,0,20,15,20
3X3BKUX7FNI4TQBH6Z6BCBN743AUUW,1,-1,-1,-1,-1,-1
3X3BKUX7FNI4TQBH6Z6BCBN743AUUW,1,0,0,20,10,20
3X3BKUX7FNI4TQBH6Z6BCBN743AUUW,1,0,0,20,3,20
3VTCTNDIMBI4MSZRCFZ5EXG7KAVTGQ,1,-1,-1,-1,-1,-1
3VTCTNDIMBI4MSZRCFZ5EXG7KAVTGQ,1,6,6,11,28,12
3VTCTNDIMBI4MSZRCFZ5EXG7KAVTGQ,1,2,1,6,26,12
3VTCTNDIMBI4MSZRCFZ5EXG7KAVTGQ,1,1,1,0,26,0
3VTCTNDIMBI4MSZRCFZ5EXG7KAVTGQ,1,10,16,0,71,2
3VTCTNDIMBI4MSZRCFZ5EXG7KAVTGQ,1,3,3,10,17,7
3VTCTNDIMBI4MSZRCFZ5EXG7KAVTGQ,1,0,0,10,14,20
3VTCTNDIMBI4MSZRCFZ5EXG7KAVTGQ,1,13,12,8,42,10
3VTCTNDIMBI4MSZRCFZ5EXG7KAVTGQ,1,16,16,1,59,1
3VTCTNDIMBI4MSZRCFZ5EXG7KAVTGQ,1,7,7,3,46,2
3TJJ8HSJVIOUEEITVOXS8LA6BWX82U,1,0,0,4,27,6
3TJJ8HSJVIOUEEITVOXS8LA6BWX82U,1,9,10,0,146,0
3TJJ8HSJVIOUEEITVOXS8LA6BWX82U,1,0,0,16,14,20
3TJJ8HSJVIOUEEITVOXS8LA6BWX82U,1,-1,-1,-1,-1,-1
3TJJ8HSJVIOUEEITVOXS8LA6BWX82U,1,14,0,1,102,1
3TJJ8HSJVIOUEEITVOXS8LA6BWX82U,1,10,4,14,39,15
3TJJ8HSJVIOUEEITVOXS8LA6BWX82U,1,4,10,3,39,2
3TJJ8HSJVIOUEEITVOXS8LA6BWX82U,1,1,2,2,41,10
3TJJ8HSJVIOUEEITVOXS8LA6BWX82U,1,8,10,0,68,1
3TJJ8HSJVIOUEEITVOXS8LA6BWX82U,1,12,5,4,30,2
39VNNFFKK59EW3XI1HP5P046ZAXXVP,1,4,7,6,71,11
39VNNFFKK59EW3XI1HP5P046ZAXXVP,1,10,10,0,58,0
39VNNFFKK59EW3XI1HP5P046ZAXXVP,1,18,10,3,86,1
39VNNFFKK59EW3XI1HP5P046ZAXXVP,1,15,13,2,32,3
39VNNFFKK59EW3XI1HP5P046ZAXXVP,1,12,10,12,38,16
39VNNFFKK59EW3XI1HP5P046ZAXXVP,1,12,12,6,38,19
39VNNFFKK59EW3XI1HP5P046ZAXXVP,1,6,3,8,25,14
39VNNFFKK59EW3XI1HP5P046ZAXXVP,1,18,12,6,130,8
39VNNFFKK59EW3XI1HP5P046ZAXXVP,1,6,8,11,70,16
39VNNFFKK59EW3XI1HP5P046ZAXXVP,1,4,12,14,30,16
3CP9VRCFS74RV9VXRUIMMBYWTQDUEZ,1,1,2,16,17,18
3CP9VRCFS74RV9VXRUIMMBYWTQDUEZ,1,12,4,14,27,14
3CP9VRCFS74RV9VXRUIMMBYWTQDUEZ,1,10,12,11,76,14
3CP9VRCFS74RV9VXRUIMMBYWTQDUEZ,1,6,7,4,40,5
3CP9VRCFS74RV9VXRUIMMBYWTQDUEZ,1,0,0,14,37,20
3CP9VRCFS74RV9VXRUIMMBYWTQDUEZ,1,14,10,4,48,6
3CP9VRCFS74RV9VXRUIMMBYWTQDUEZ,1,1,14,13,57,16
3CP9VRCFS74RV9VXRUIMMBYWTQDUEZ,1,3,2,7,37,14
3CP9VRCFS74RV9VXRUIMMBYWTQDUEZ,1,4,4,18,32,19
3CP9VRCFS74RV9VXRUIMMBYWTQDUEZ,1,3,10,14,38,18
