imageID,WorkerId,Input.timeAlloted,Input.reward,Input.hitsAvailable,Answer.Q_ABILITY,Answer.Q_COMPLEX,Answer.Q_DIFFICULT,Answer.Q_FREQUENCY,Answer.Q_Frustration,Answer.Q_Intresting,Answer.Q_OverallEffort,Answer.Q_Performance,Answer.Q_TAKE,TLX,TLX_RAW
36MWL0IRGCO0L6PQ7W22BBNT0ICOHL,A19LVWX8ZLO6CS,60 minutes,0.05,7,Y,1,1,0,3,0,37,1,0,8.33,7.5
3XKJYHBF1PGIGZAV82J26HU67K1S94,A19LVWX8ZLO6CS,45 minutes,0.13,13523,Y,2,4,0,4,0,44,3,0,12.67,10.83
36R3RQSDPTXRSZ6X7FR6HZHDYAF078,A19LVWX8ZLO6CS,60 minutes,0.25,1,Y,2,3,0,3,0,37,2,0,10.33,9.17
3ZFB7PFNY1ZJD1XM4GHBRRAA6GF932,A19LVWX8ZLO6CS,60minutes,0.05,4,Y,2,0,0,4,0,38,2,0,8.67,8.33
3LV0310AAZ5BVL06B1AU1YGZUNKDKM_1,A19LVWX8ZLO6CS,45 minutes,0,1,Y,0,0,11,1,4,34,0,0,2.67,2.5
34RF8KPUOTU14SPS6MXYXNPWVK7SBH,A19LVWX8ZLO6CS,45minutes,0.14,8216,Y,2,0,2,0,10,45,3,2,37.33,27.5
3VHU2SWT3EI2EPQKMFU0IXHUUZKSPE,A19LVWX8ZLO6CS,24 hours,0.5,18,Y,4,4,13,1,2,41,1,20,10,7.5
3VKCYEEK5GTFPTFE2CSUAPH4AEKG1E_2,A19LVWX8ZLO6CS,1 hour 40 minutes,0.35,5,Y,3,2,0,4,1,50,4,0,20,15.83
3PBTVBPQ8T2RUQ4LSR4U2IGAMAGLG7,A19LVWX8ZLO6CS,10 minutes,0,677,Y,1,2,10,0,0,37,2,0,7.33,5
3XOONX5XJ4G5CUJT3GITEEBP8TAR9P,A19LVWX8ZLO6CS,45 minutes,0.02,7,Y,0,0,1,0,11,31,0,14,1.33,0.83
37CCG24EIZSNBY0O0RYFBPCKLTQZRW,A19LVWX8ZLO6CS,30 minutes,0.15,1,Y,0,0,20,0,10,25,1,20,1.33,0.83
3TCGLRK8ZGNA4CQP60QJDQBQH1MZQ6,A19LVWX8ZLO6CS,60 minutes,0.6,3,Y,6,5,8,3,10,41,2,13,15.67,12.5
3NAD71TD8V1W7T0ET8V40F6WWDIL2U,A19LVWX8ZLO6CS,60 minutes,0.06,2503,Y,11,10,2,10,8,45,4,12,20.67,20
3YJAOW5N8OUDFKNJJE4VLVI0YDQNSK,A19LVWX8ZLO6CS,60 minutes,0.04,10809,N,20,20,0,10,2,72,20,0,53.33,41.67
33RX46D1RXVH625SCIG7UWSYT80X1J,A19LVWX8ZLO6CS,30 minutes,0.04,85,Y,0,1,3,1,0,35,1,6,5.33,4.17
3O73QR1UY8O4VXGQ4UMU1W2GKGC94O,A19LVWX8ZLO6CS,60 minutes,0.05,2,Y,4,0,0,1,0,44,0,0,5.33,4.17
3D3X1L1OBIRB9XRZKHJ79UYYYTK1VU,A19LVWX8ZLO6CS,60 minutes,0.2,346,Y,2,3,0,4,2,37,2,0,9.67,9.17
3OR6S1RAC52TCC0V5OHKA3WQNHZAGY,A19LVWX8ZLO6CS,60minutes,0.05,1085,Y,2,5,0,6,0,42,2,0,9.33,10
3AJ89545NQRFJUS6JU65GFBBEJ7BEW,A19LVWX8ZLO6CS,20 minutes,0.02,4228,Y,0,1,10,2,0,26,1,14,4,4.17
3YJAOW5N9PI929Z2OH5BG1NQ7AGNSB,A19LVWX8ZLO6CS,7 days,0.3,2,N,20,20,0,10,0,112,20,0,53.33,41.67
3203J2GC2PK4HSXGZ2GG107218V84Q,A19LVWX8ZLO6CS,2hours,0.02,115,Y,2,1,0,10,0,32,0,0,8,11.67
3ID43DSF5JBJ2SZGW2H8HR9RGRT5G5,A19LVWX8ZLO6CS,60 minutes,0.01,34,Y,0,0,11,1,3,21,0,2,0.33,0.83
3IXQCB6XI8S61DI53P5ICGI2I9BTIR,A19LVWX8ZLO6CS,60 minutes,0.02,1494,Y,3,4,0,3,0,38,2,0,9.67,8.33
3VNVHCMRM39PCV9YY08XQFC2ASTW7K,A19LVWX8ZLO6CS,20 minutes,0.5,1,Y,0,2,12,1,4,39,0,20,7,5.83
3MNYFQMXON9G1T2C2HOQSK4JSIPY01,A19LVWX8ZLO6CS,7 days,0.06,3,Y,1,0,19,0,10,27,1,20,2.33,1.67
3ZFB7PFNY1ZJD1XM4GHBRRAA6FG931,A19LVWX8ZLO6CS,60minutes,0.05,51,Y,1,0,0,1,0,30,1,0,5.33,4.17
32GVUSPLEYOYH9SP841K39EVOUOK3Z,A19LVWX8ZLO6CS,24 hours,0.1,72,Y,2,2,0,3,0,34,2,0,6,5.83
3XLULPCEJ5A20HTSPHJ11BGOHJ2K00,A19LVWX8ZLO6CS,24 hours,0.1,63,Y,5,4,0,8,0,40,4,0,20,18.33
3T6HLR4BXW65EY3SGXC7I8IJLZ589G,A19LVWX8ZLO6CS,2hours,0.03,136,Y,0,0,0,2,0,37,0,0,4.67,4.17
3NE6EBGK47BU93BYGGU8IB2LO7NE35,A19LVWX8ZLO6CS,2 hours,2,1,Y,6,8,12,6,16,51,2,20,28.33,23.33
3OBCKNXF1ZHFXL8XUNXW3AYWZX5J3K,A19LVWX8ZLO6CS,60minutes,0.07,3887,Y,1,3,1,1,4,26,2,10,6.67,5
3VTCTNDIMBI4MSZRCFZ5EXG7KAVTGQ,A19LVWX8ZLO6CS,3 minutes,0.02,110,Y,2,4,1,9,0,26,4,1,15,15.83
3I21NMEA63DY0BA82BXKKSLPMBYSHT,A19LVWX8ZLO6CS,45 minutes,0.04,4,Y,2,3,0,4,0,45,2,0,14.67,12.5
3ZAK6NWIZ37QLEUJSP86OBIVCQQ9VS,A19LVWX8ZLO6CS,10 minutes,0.05,499,Y,0,0,16,0,10,14,0,20,1,0.83
389X50RO4VDYCDHURIYQ7760LL5343,A19LVWX8ZLO6CS,4 minutes,0.15,984,Y,0,0,6,0,0,30,1,11,14.67,11.67
3XQ5ITPVUWC5A41L5RJWP1DP30VQTX,A19LVWX8ZLO6CS,7 days,0.03,50,Y,1,1,10,0,3,34,2,16,8,5.83
3OJGK8O6MRNHZCTYHMEFS503K2OL5K,A19LVWX8ZLO6CS,3 hours,0.6,354,Y,4,9,0,3,2,46,3,6,16.33,13.33
3N9FD9XF48K5Z4R4YKZ4XC3B2YYEVL,A19LVWX8ZLO6CS,10 minutes,0.07,616,Y,1,2,0,2,0,37,1,0,5.67,5
3CTCX9NXC67QIV0KKFDEFSMCFTJJLN,A19LVWX8ZLO6CS,15 minutes,0.5,1,Y,2,4,16,2,12,35,2,20,12,10
3JCELWMC4PY7J05E7LXQXNDWO6Y3V4,A19LVWX8ZLO6CS,60 minutes,0.2,505,Y,1,1,0,1,1,33,1,4,7.33,5.83
3I5ZXD44JV69M8DWVE4I5ER80XVCJX_2,A19LVWX8ZLO6CS,3minutes,0.05,1,N,0,0,0,0,0,27,0,0,14,11.67
3H41Q6XMRNUCK2PCFPR6Y35LJFT2GW,A19LVWX8ZLO6CS,5 minutes,0.01,51,Y,0,0,1,3,0,27,1,0,11.33,10
3IR329NZ7YGB0BGT612CO4BTUIW2K0,A19LVWX8ZLO6CS,60 minutes,0.2,6,Y,4,10,0,15,0,71,5,0,33,31.67
3I21NMEA63DY0BA82BXKKSLPMBYSHT_2,A19LVWX8ZLO6CS,45 minutes,0.04,4,Y,8,2,0,10,0,42,2,0,18.67,19.17
3ME56J5KH09H8MTADW07EI1HZMYC6P,A19LVWX8ZLO6CS,5 minutes,0.01,5,Y,2,0,0,2,0,38,1,0,9.33,7.5
37ZUGP9H9BONPT0XCKXE3201JQL81F,A19LVWX8ZLO6CS,60minutes,0.05,217,Y,2,0,0,9,0,39,1,0,14,15
3BK5FW2G6MZ18ENS8D29GOXE9AHRCA,A19LVWX8ZLO6CS,60 minutes,0.15,28,Y,2,6,0,10,0,44,4,0,34,30
3SI493PTSWP5AHPBIVTI1I8D7X4ZDI,A19LVWX8ZLO6CS,5 minutes,0.04,1618,Y,0,1,10,1,4,37,1,11,5.33,4.17
3T6UNEUZ5USMH6KL5FCL3O350KM199,A19LVWX8ZLO6CS,10minutes,0.02,15,Y,1,0,0,3,0,31,1,0,10.33,9.17
3BZN229KV5TWHZF32GLR8LCC1TX6DS,A19LVWX8ZLO6CS,10minutes,0.08,2,Y,1,1,0,2,0,27,1,2,5.33,5
3CP9VRCFS74RV9VXRUIMMBYWTQDUEZ,A19LVWX8ZLO6CS,3 hours,0.25,9,Y,1,0,10,0,6,32,1,20,3.67,2.5
3U47UEJKWC6S8AEVXI8SUW72VHPLB6,A1BF7DK6RJHQA1,2 hours,2.8,1,N,15,15,0,15,5,86,11,0,55.33,62.5
31TTIPZ8XM69HILWQZWMCQMN1KS3GE,A1BF7DK6RJHQA1,20 minutes,0.07,489,Y,15,13,0,16,13,101,16,0,72.67,76.67
32WAV7G60PNC75TK9C1M3A29EH0D36,A1BF7DK6RJHQA1,60 minutes,0.18,277,Y,16,17,9,18,15,102,12,12,59,70.83
35HIM1LU2HRMGPBVQO0P66HG1MBI5I,A1BF7DK6RJHQA1,2 hours,0.07,2828,Y,14,16,11,15,18,102,15,13,69.33,73.33
3YR6VNT52416IC86SLGIIDTF4TWB78,A1BF7DK6RJHQA1,10 minutes,0.05,29,Y,18,14,0,19,13,86,12,0,69.67,80
3YNFDCZ5Q3U1E5N64P4QVLD4C30NR9,A1BF7DK6RJHQA1,60minutes,0.04,4409,N,20,19,0,19,2,113,19,0,63.33,72.5
3PBTVBPQ9UJW25OVYU5DFTVY5MMGLK_1,A1BF7DK6RJHQA1,7 daysays,0.15,6,Y,5,5,19,9,19,71,1,20,25.67,36.67
3DHOXWJRSC3OAPE5AL86OV64DJCT3O,A1BF7DK6RJHQA1,40 minutes,0.2,61,Y,17,16,5,17,11,101,13,13,65.67,75
3GAR7VLBJNDRH4HH5ZWWCFRBGXZ4Y9,A1BF7DK6RJHQA1,10minutes,0.04,10472,N,17,18,0,15,18,86,17,0,72.33,77.5
3YS67JKWKBRVDSIQ9F8UVFJ1JQRX40,A1BF7DK6RJHQA1,10 minutes,0.1,82,Y,18,17,5,19,12,106,12,5,68,78.33
3AA189Q6B51983MEFLORU493K7KMWE,A1BF7DK6RJHQA1,60 minutes,0.04,1,Y,17,18,14,17,15,101,3,11,52.67,66.67
3YJAOW5N8OUDFKNJJE4VLVI0YDQNSK,A1BF7DK6RJHQA1,60 minutes,0.04,10809,N,19,17,0,19,2,112,15,0,69.33,79.17
3T6UNEUZ5USMH6KL5FCL3O350KM199_2,A1BF7DK6RJHQA1,10minutes,0.02,15,Y,15,14,13,11,17,86,2,14,44.67,55.83
33RX46D1RXVH625SCIG7UWSYT80X1J,A1BF7DK6RJHQA1,30 minutes,0.04,85,Y,13,16,17,10,19,101,3,17,50.67,60
3OR6S1RAC52TCC0V5OHKA3WQNHZAGY,A1BF7DK6RJHQA1,60minutes,0.05,1085,Y,19,19,4,19,10,86,13,8,67,72.5
3I5ZXD44JV69M8DWVE4I5ER80XVCJX_2,A1BF7DK6RJHQA1,3minutes,0.05,1,Y,11,17,0,19,9,102,9,0,60.67,76.67
3R0WG3C6FAYXA2OVFH1MKSVV7DKWL8,A1BF7DK6RJHQA1,10 minutes,0.05,342,N,19,19,0,18,9,113,11,0,65.33,78.33
3ME56J5KH09H8MTADW07EI1HZMYC6P,A1BF7DK6RJHQA1,5 minutes,0.01,5,Y,12,19,2,19,16,101,12,1,76.33,84.17
3CP9VRCFS74RV9VXRUIMMBYWTQDUEZ,A1BF7DK6RJHQA1,3 hours,0.25,9,Y,15,14,16,15,19,93,16,13,70,70.83
32JRJ3GOYGFHSVM6IWA88RJNYD8U1D,A1CYNV91NQD4VK,15 minutes,0.15,92,Y,0,0,10,0,2,37,0,20,10,8.33
34RF8KPUOTU14SPS6MXYXNPWVK1SBB_2,A1CYNV91NQD4VK,45 minutes,0.03,24394,Y,8,0,0,9,1,45,0,0,19,17.5
3WAI7IWAXVDPIQMZBUA6WKWKGBTKCH,A1CYNV91NQD4VK,10 minutes,0.06,2558,Y,0,0,0,0,0,8,0,0,4,3.33
3C2UN3Y7UJLGZT23JF159R7GHEFMFI,A1CYNV91NQD4VK,6hours,0.17,4,N,8,20,0,20,2,64,20,0,50,48.33
39PLFW4P2L2RPNN40J9QB1XCZ2O4HT,A1CYNV91NQD4VK,60 minutes,0.09,366,Y,6,0,0,10,2,38,0,0,19,17.5
3I5ZXD44JV69M8DWVE4I5ER80XVCJX,A1CYNV91NQD4VK,3minutes,0.05,1,Y,7,0,10,18,4,58,0,0,46.67,43.33
319N3DB42B6LKGW48RIT1IUY6MJEPG,A1CYNV91NQD4VK,45 minutes,0.07,3,Y,2,0,4,1,6,27,2,7,19.33,13.33
3YR6VNT52416IC86SLGIIDTF4TWB78,A1CYNV91NQD4VK,10 minutes,0.05,29,Y,0,0,0,4,2,40,2,0,22.33,19.17
3U47UEJKWC7M32113CRLFBCBUKFBLV,A1CYNV91NQD4VK,60 minutes,0.05,22,Y,4,0,0,4,0,31,0,0,13.67,10.83
3JG2O8WUZH7UTHWSYCP6CNBWVH79WZ,A1CYNV91NQD4VK,5minutes,0.1,1,Y,3,0,6,0,1,33,0,6,10.33,7.5
3DXFGU9SLODY46WA7XIQCVBUTMKEXQ,A1CYNV91NQD4VK,2 hours,0.9,1,Y,6,5,10,4,4,57,0,10,26.67,21.67
3CYDGW98NMPSZAAQ0W8MOBJZSSBOM6,A1CYNV91NQD4VK,60 minutes,0.04,761,N,0,20,0,20,0,38,20,0,35.33,38.33
3HL3WX653BXN6QCFW6M6ATC7KPGPQT,A1CYNV91NQD4VK,60 minutes,0.2,1,Y,5,2,0,14,2,51,2,0,32,30
3MHMBB6SGFYXPF5WOO57T0Y1YOLKW9,A1CYNV91NQD4VK,60 minutes,0.02,108,N,0,20,6,6,0,14,20,0,22,21.67
3MK14RC5NS9WDGLCZVLGWCZQJ24T6G,A1CYNV91NQD4VK,45 minutes,0.01,355,Y,0,0,0,0,0,26,0,0,1,0.83
3GAR7VLBJNDRH4HH5ZWWCFRBGXZ4Y9,A1CYNV91NQD4VK,10minutes,0.04,10472,Y,0,0,0,0,0,21,0,0,17,12.5
3YS67JKWKBRVDSIQ9F8UVFJ1JQRX40,A1CYNV91NQD4VK,10 minutes,0.1,82,Y,0,4,0,12,2,27,2,0,43.33,38.33
3LJE53CC7VYWE1O3MIQ180XM33HESQ,A1CYNV91NQD4VK,60 minutes,0.02,3253,Y,4,0,0,1,0,23,0,0,5.67,4.17
3YE2HAAZLWT35EOEU3RFNMQ5RC4ZU3,A1CYNV91NQD4VK,7 minutes,0.15,5,Y,4,0,17,0,8,38,0,16,15.33,11.67
3DXFGU9SKNVTS8DGXQ8KL6UJIRCXE8,A1CYNV91NQD4VK,2minutes,0.04,203,N,0,20,0,20,5,14,20,0,48.67,51.67
3D8B00U52IVJZWECZOBXRVFYHAV833,A1CYNV91NQD4VK,60 minutes,0.05,24,Y,4,0,0,6,0,42,0,0,12.67,11.67
3XFOW6US4G39LHGXH58DQK2U59EF7W,A1CYNV91NQD4VK,10 minutes,0.06,4,Y,3,0,4,2,6,28,0,2,19,14.17
3SIEQXXS6F7PLDK653FBMIWP0ADQ4C,A1CYNV91NQD4VK,60 Minutes,0.2,273,Y,0,0,10,0,5,27,0,19,10.67,6.67
3XQ5ITPVUWC5A41L5RJWP1DP30VQTX,A1CYNV91NQD4VK,7 days,0.03,50,Y,0,0,0,0,2,15,0,0,5.33,3.33
3R8NDUBSE5C5KWKOVCROU8T8BNKK4W,A1CYNV91NQD4VK,60 Minutes,0.01,1,Y,0,0,10,0,0,15,0,1,1.67,0.83
330XZFCZ7R2IEZH3T3I3O6ANM0DXTM,A1CYNV91NQD4VK,10 minutes,0.05,35,Y,2,0,4,0,2,27,0,10,9.67,5.83
3TYSWKZBFMLN72JJOTFJJEIWD9HG7U,A1CYNV91NQD4VK,60 minutes,0.07,244,Y,3,0,0,6,1,38,0,0,16,13.33
3SI493PTSWP5AHPBIVTI1I8D7X4ZDI,A1CYNV91NQD4VK,5 minutes,0.04,1618,Y,0,0,6,0,0,27,0,16,15.33,11.67
36HGGQAXL6KTNEA2DMTHLEEUZ4CVBW,A1ESCPVSM3GQ95,3hours,0.15,19396,Y,10,5,10,10,5,32,10,2,50,50
3R8NDUBSE5CRYRKXR6M9AB02Z7L4K5,A1ESCPVSM3GQ95,30 minutes,0.15,878,Y,10,0,0,0,10,27,1,10,7.67,8.33
33FLRCV01N0NF725EJLGLLU8UGYORG,A1F3IJU2HXZ0PQ,60 seconds,0.1,100,Y,6,4,0,15,0,67,10,6,66.67,69.17
3Q9ARQ9ZAP4L7I0LVYTFN28MIJR3MM_2,A1F3IJU2HXZ0PQ,60minutes,0.4,1,Y,0,4,14,3,16,39,0,16,28.67,25.83
3PHLPV04IQDPW55WV8WBZJA231AP7O,A1F3IJU2HXZ0PQ,60 minutes,0.1,27,Y,12,5,4,13,12,50,4,2,59.33,55.83
3PBTVBPQ9UJW25OVYU5DFTVY5MMGLK,A1F3IJU2HXZ0PQ,7 daysays,0.15,6,Y,11,12,3,14,0,61,7,1,48.67,53.33
3S8DC08I2JZOJ6XAR5ADV2RBM80EJJ,A1F3IJU2HXZ0PQ,3 minutes,0.04,1,Y,12,13,6,17,0,41,7,1,62.33,68.33
3RRYB8LG3ZH82HFOZGL7ANT68BKKUX,A1F3IJU2HXZ0PQ,5 minutes,0.1,1,Y,2,3,3,0,0,10,4,4,5.33,3.33
3HVLA9UQN4GKVQOHDHMDH1A7KETU66,A1F3IJU2HXZ0PQ,7 days,1,1,Y,8,13,13,10,14,72,2,14,46,43.33
36QDS77QN9Y3AP81GU3ZJ983H37HFJ,A1F3IJU2HXZ0PQ,60minutes,0.02,644,Y,3,2,4,3,3,27,1,10,13.67,12.5
3TJJ8HSJVIOUEEITVOXS8LA6BWX82U,A1F3IJU2HXZ0PQ,60minutes,0.05,21,Y,0,2,10,2,0,25,0,8,14,15
30GUUI0R316PRKEN69AJEXY15MMBCT,A1F3IJU2HXZ0PQ,15minutes,0.08,3,Y,0,0,2,4,0,13,0,20,8.33,10.83
3EX6YJ62T6GKTDIQJCCYD4JMD62ZJG,A1F3IJU2HXZ0PQ,30 minutes,0.2,4,Y,12,10,0,10,0,57,4,0,49.67,47.5
3LBF4GRVWQSB1V8AOKNI47EZJYMDDE,A1F3IJU2HXZ0PQ,10 minutes,0.05,139,Y,4,4,7,3,3,38,2,8,17.33,17.5
34RF8KPUOTU14SPS6MXYXNPWVK1SBB_1,A1F3IJU2HXZ0PQ,45 minutes,0.03,24394,Y,0,0,20,1,0,15,0,20,1,1.67
3YS67JKWKBTMNDQ3LRFOMM61VUK4X5,A1F3IJU2HXZ0PQ,60 Minutes,0.1,71,Y,10,10,0,14,0,62,0,0,42,43.33
31TTIPZ8XM69HILWQZWMCQMN1KS3GE,A1F3IJU2HXZ0PQ,20 minutes,0.07,489,Y,6,6,10,10,10,39,4,10,40.33,39.17
36HGGQAXL6KTNEA2DMTHLEEUZ4CVBW,A1F3IJU2HXZ0PQ,3hours,0.15,19396,Y,10,14,0,15,0,39,13,0,64.33,67.5
32WAV7G60PNC75TK9C1M3A29EH0D36,A1F3IJU2HXZ0PQ,60 minutes,0.18,277,Y,11,11,0,13,0,62,10,0,43.33,42.5
3LV0310AAZ5BVL06B1AU1YGZUNKDKM,A1F3IJU2HXZ0PQ,45 minutes,0,1,Y,2,0,20,0,0,21,0,20,3.33,1.67
39Y8ZSVZWWM1XMK47AFGQNZOPQQVZE,A1F3IJU2HXZ0PQ,60 minutes,0.04,10,Y,10,10,0,10,0,62,6,0,40.67,40
36FIWAXJH5YZ4NF13JA9L63DO7Z3AS,A1F3IJU2HXZ0PQ,60minutes,0.2,2557,Y,20,20,0,20,20,100,16,0,93.33,93.33
3LV0310AB0LE2KPSDVZ5QZ931M3DKU,A1F3IJU2HXZ0PQ,60 minutes,0.03,360,Y,10,10,0,11,12,47,7,12,49.33,46.67
31QBDMKNDPO96CGOU6OI3UH1N96L85,A1F3IJU2HXZ0PQ,2 hours,0.62,1,Y,20,20,0,20,0,93,7,0,82.67,89.17
3OQEO5BIM1SME8SFQJ108NKG2ZKU9F_2,A1F3IJU2HXZ0PQ,60 minutes,0.2,9,Y,12,12,0,12,0,62,8,0,54.67,56.67
3ME56J5KH0A6OHM7NB7LNJZ2KW86CO,A1F3IJU2HXZ0PQ,2 minutes,0.05,9515,Y,16,16,0,16,3,74,4,0,64,66.67
34YKDDZP3UMABNHOK8ECJ4FCOZJWHB,A1F3IJU2HXZ0PQ,20 minutes,0.5,1,Y,20,5,0,20,0,112,6,0,77.33,78.33
3R7DCNC1NO24TFH8BGUHQFOR9KEUDP,A1F3IJU2HXZ0PQ,60 minutes,0.05,399,Y,11,11,0,11,0,58,10,0,50,50.83
3O5YJYPUSW7TWBM6KNWM44WLFH8KON,A1F3IJU2HXZ0PQ,1 W 3 days,0.3,1,N,20,20,0,20,0,150,20,0,86.67,76.67
3OQEO5BIN29PS6BYUHRH0ABF87P9UL,A1F3IJU2HXZ0PQ,2 hours,0.9,1,Y,0,10,10,10,0,48,3,10,44.67,38.33
3XH5NKQXD1CEK1G2OFNXP2YO5CGQ1D,A1F3IJU2HXZ0PQ,10 minutes,0.05,6,Y,12,12,11,12,0,60,6,10,52,55
3LLXQSS3GH7EI0TIBFCZBVHJUIM2FF,A1F3IJU2HXZ0PQ,20 minutes,0.07,11,Y,6,12,0,6,6,36,4,2,51,46.67
3TR9CMHN3N8E2YCNTAQUMF33CUSBB8,A1F3IJU2HXZ0PQ,5 minutes,0,1,Y,11,11,0,16,0,73,10,0,54,63.33
3RPY1MM09GJ0DPT9E5P5CCJTRTWMHE,A1F3IJU2HXZ0PQ,15minutes,0.05,1,Y,17,7,10,15,0,70,5,11,66,71.67
3DXFGU9SLODY46WA7XIQCVBUTMKEXQ,A1F3IJU2HXZ0PQ,2 hours,0.9,1,Y,14,8,0,4,0,85,2,0,60.67,48.33
3HYDIS22CWMMEZBE3G64NG7ZMZON5V,A1F3IJU2HXZ0PQ,3 minutes,0.2,13,Y,10,4,6,4,12,39,3,4,30.33,33.33
3Q9ARQ9ZAP4L7I0LVYTFN28MIJR3MM_1,A1F3IJU2HXZ0PQ,60minutes,0.4,1,Y,3,4,4,4,14,27,4,6,22,21.67
3NCF7G1XKJPJCCJPOHEQSUA1GNWANP,A1F3IJU2HXZ0PQ,30 Minutes,0.04,86,Y,12,10,0,12,0,56,8,0,66,57.5
3HL3WX653BXN6QCFW6M6ATC7KPGPQT,A1F3IJU2HXZ0PQ,60 minutes,0.2,1,Y,2,14,0,4,7,79,4,0,59,48.33
3M6KHLIXGO95W4HFFOS373KMUDHIRT,A1F3IJU2HXZ0PQ,60 minutes,0.5,2,Y,3,12,0,12,0,89,3,0,70,67.5
3AA189Q6C6N6C9XRHK508ZBLMH8WM3,A1F3IJU2HXZ0PQ,60 minutes,0.01,5280,Y,3,2,6,2,6,9,0,5,10.67,11.67
3MXFP9RGE565H89AY0KXMF94YTQB2U,A1F3IJU2HXZ0PQ,60 minutes,2,1,Y,0,4,4,3,0,30,1,10,19,16.67
38MNOT6KWIG21RX6PKH1YJB8VKDT05_1,A1F3IJU2HXZ0PQ,5 minutes,0.02,152,Y,5,2,2,4,0,49,4,2,32,35
3GRRK9BQWRDBESRD36S5634M392PD9,A1F3IJU2HXZ0PQ,2 hours,2.02,1,Y,10,14,3,16,0,79,5,2,70,66.67
3UKAYM2G38LNW9YPLTZSPTC333T903,A1F3IJU2HXZ0PQ,60minutes,0.05,18,Y,4,4,8,8,0,50,3,4,34.67,34.17
3CVHT3IKUYKSX9WRAWTF52715RU0R4,A1F3IJU2HXZ0PQ,3 minutes,0.02,1870,Y,0,3,0,5,0,13,2,16,20,24.17
3OQEO5BIM1SME8SFQJ108NKG2ZKU9F_1,A1F3IJU2HXZ0PQ,60 minutes,0.2,9,Y,6,6,20,6,0,39,4,20,38.33,32.5
3OR6S1RAC52TCC0V5OHKA3WQNHZAGY,A1F3IJU2HXZ0PQ,60minutes,0.05,1085,Y,16,16,2,20,0,77,10,3,67.33,75.83
3I21NMEA63DY0BA82BXKKSLPMBYSHT_1,A1F3IJU2HXZ0PQ,45 minutes,0.04,4,Y,14,13,12,16,0,85,4,10,78.67,83.33
35QUA2ABZ7MBAB0HZGYJHQ28USWGE7,A1F3IJU2HXZ0PQ,20 minutes,0.02,5648,Y,12,10,0,14,0,57,10,0,55.67,57.5
3XQ5ITPVUWC5A41L5RJWP1DP30VQTX,A1F3IJU2HXZ0PQ,7 days,0.03,50,Y,12,12,0,6,0,53,10,0,73,59.17
3OJGK8O6MRNHZCTYHMEFS503K2OL5K,A1F3IJU2HXZ0PQ,3 hours,0.6,354,Y,14,14,0,20,12,81,10,6,65.67,67.5
3CTCX9NXC67QIV0KKFDEFSMCFTJJLN,A1F3IJU2HXZ0PQ,15 minutes,0.5,1,Y,7,6,0,7,0,36,5,0,43.67,41.67
378UBY8FR7AABMKBM232FCEFT60T8E,A1F3IJU2HXZ0PQ,40 minutes,0.4,665,Y,13,12,0,14,0,63,10,0,62.33,62.5
3EXC7SWSR38EV80UNYXZTOBA3ESHT8,A1GF29TP5AVQ49,60minutes,0.02,1610,Y,3,7,10,3,9,37,3,11,14.33,14.17
3568B45QGKRG3Y1LZDHA1JA6BSCO3E,A1GF29TP5AVQ49,5 hours,3,1,Y,10,9,12,5,15,42,4,18,48.67,45
3UXCLCQO1UDWROO910PGOYLD3QJ20A,A1GF29TP5AVQ49,60 minutes,0,2,Y,3,3,2,0,3,27,2,0,7.67,7.5
3Y6OYEUGD7DBA3Z0UX7LVDP3LCIS5W,A1GF29TP5AVQ49,5 minutes,0.1,1,Y,1,1,17,1,17,18,1,20,1.67,2.5
30GUUI0R316PRKEN69AJEXY15MMBCT,A1GF29TP5AVQ49,15minutes,0.08,3,Y,3,3,10,2,4,32,3,15,27.33,24.17
3DXFGU9SKN7P79WJOTN6EK4MLG3EXS,A1GF29TP5AVQ49,15 minutes,0.05,3,Y,5,5,15,4,7,34,5,14,21.67,22.5
3LV0310AAZ5BVL06B1AU1YGZUNKDKM_2,A1GF29TP5AVQ49,45 minutes,0,1,Y,4,4,17,5,3,33,1,0,26.33,25.83
38DNTK7MFN2OC2PZPWU81IIJXME01H,A1GF29TP5AVQ49,60 minutes,0.02,1,Y,2,1,18,1,17,20,1,8,5,5
31QBDMKNDPO96CGOU6OI3UH1N96L85,A1GF29TP5AVQ49,2 hours,0.62,1,N,15,15,0,15,4,81,4,0,68.67,67.5
3DECMKXKT815JCLN1RI1KKDJDFAMBB,A1GF29TP5AVQ49,15 minutes,0.01,1,Y,9,5,3,4,3,42,14,0,44.67,40
3U47UEJKWC7M32113CRLFBCBUKFBLV,A1GF29TP5AVQ49,60 minutes,0.05,22,Y,5,5,4,5,6,40,5,2,25.67,26.67
390EOHYPK4Q05K2TRHZ1W9N0LW8X3W,A1GF29TP5AVQ49,3 hours,0.03,133,Y,5,4,4,4,2,34,4,0,19.33,20
3B9PUZPHFHW5PZT5Q7OV88NG9W6JA5,A1GF29TP5AVQ49,5 minutes,0.05,1,Y,3,2,3,2,3,41,3,3,13.33,13.33
3XH5NKQXD1CEK1G2OFNXP2YO5CGQ1D,A1GF29TP5AVQ49,10 minutes,0.05,6,Y,5,4,2,4,1,60,3,3,22,20
35DAEVU8JHJ10FFZ10EN4CRDQ8F870,A1GF29TP5AVQ49,2 hours,0.01,4978,Y,2,3,3,4,1,29,7,0,24,23.33
